image_path,true_label_index,predicted_label_index,confidence,true_label,predicted_label
data/tiny-imagenet-200/val/n02206856/val_4547.jpeg,38,135,0.012639805,n02206856,n03983396
data/tiny-imagenet-200/val/n02165456/val_2625.jpeg,36,135,0.012132867,n02165456,n03983396
data/tiny-imagenet-200/val/n04366367/val_3901.jpeg,157,135,0.012079169,n04366367,n03983396
data/tiny-imagenet-200/val/n02509815/val_3610.jpeg,58,135,0.011798425,n02509815,n03983396
data/tiny-imagenet-200/val/n03838899/val_4737.jpeg,125,135,0.011672884,n03838899,n03983396
data/tiny-imagenet-200/val/n02669723/val_6395.jpeg,60,135,0.011572888,n02669723,n03983396
data/tiny-imagenet-200/val/n12267677/val_8612.jpeg,199,135,0.011529088,n12267677,n03983396
data/tiny-imagenet-200/val/n03980874/val_8191.jpeg,134,135,0.011508292,n03980874,n03983396
data/tiny-imagenet-200/val/n02950826/val_7819.jpeg,84,135,0.011502657,n02950826,n03983396
data/tiny-imagenet-200/val/n04399382/val_9320.jpeg,161,135,0.011464119,n04399382,n03983396
data/tiny-imagenet-200/val/n04254777/val_9442.jpeg,149,135,0.011462145,n04254777,n03983396
data/tiny-imagenet-200/val/n03424325/val_4186.jpeg,106,135,0.011441846,n03424325,n03983396
data/tiny-imagenet-200/val/n01984695/val_4254.jpeg,19,135,0.011436733,n01984695,n03983396
data/tiny-imagenet-200/val/n01917289/val_5592.jpeg,14,135,0.011436383,n01917289,n03983396
data/tiny-imagenet-200/val/n03733131/val_629.jpeg,118,135,0.011387909,n03733131,n03983396
data/tiny-imagenet-200/val/n03599486/val_3375.jpeg,111,135,0.011372615,n03599486,n03983396
data/tiny-imagenet-200/val/n04486054/val_5303.jpeg,165,135,0.011283851,n04486054,n03983396
data/tiny-imagenet-200/val/n01774750/val_9587.jpeg,9,135,0.011251585,n01774750,n03983396
data/tiny-imagenet-200/val/n04023962/val_1773.jpeg,138,135,0.011191803,n04023962,n03983396
data/tiny-imagenet-200/val/n03706229/val_9870.jpeg,117,135,0.01111551,n03706229,n03983396
data/tiny-imagenet-200/val/n07715103/val_1096.jpeg,183,135,0.011096149,n07715103,n03983396
data/tiny-imagenet-200/val/n07920052/val_1471.jpeg,193,135,0.0110877,n07920052,n03983396
data/tiny-imagenet-200/val/n03584254/val_3025.jpeg,110,135,0.01108681,n03584254,n03983396
data/tiny-imagenet-200/val/n03854065/val_8032.jpeg,126,135,0.011029536,n03854065,n03983396
data/tiny-imagenet-200/val/n02364673/val_8372.jpeg,47,135,0.011020958,n02364673,n03983396
data/tiny-imagenet-200/val/n03404251/val_8836.jpeg,105,135,0.011020373,n03404251,n03983396
data/tiny-imagenet-200/val/n02056570/val_7264.jpeg,21,135,0.01101949,n02056570,n03983396
data/tiny-imagenet-200/val/n07579787/val_2793.jpeg,177,135,0.01101574,n07579787,n03983396
data/tiny-imagenet-200/val/n03814639/val_1459.jpeg,123,135,0.010997953,n03814639,n03983396
data/tiny-imagenet-200/val/n07695742/val_5039.jpeg,181,135,0.010994255,n07695742,n03983396
data/tiny-imagenet-200/val/n02106662/val_4120.jpeg,28,135,0.010939534,n02106662,n03983396
data/tiny-imagenet-200/val/n02231487/val_7455.jpeg,40,135,0.010908195,n02231487,n03983396
data/tiny-imagenet-200/val/n01984695/val_1718.jpeg,19,135,0.010901592,n01984695,n03983396
data/tiny-imagenet-200/val/n02231487/val_990.jpeg,40,135,0.010901496,n02231487,n03983396
data/tiny-imagenet-200/val/n02106662/val_743.jpeg,28,135,0.010891909,n02106662,n03983396
data/tiny-imagenet-200/val/n02206856/val_877.jpeg,38,135,0.010879189,n02206856,n03983396
data/tiny-imagenet-200/val/n04596742/val_4179.jpeg,174,135,0.01086921,n04596742,n03983396
data/tiny-imagenet-200/val/n04251144/val_5654.jpeg,148,135,0.010834487,n04251144,n03983396
data/tiny-imagenet-200/val/n02509815/val_3499.jpeg,58,135,0.01082869,n02509815,n03983396
data/tiny-imagenet-200/val/n02395406/val_2309.jpeg,48,135,0.010819738,n02395406,n03983396
data/tiny-imagenet-200/val/n02814860/val_5176.jpeg,71,135,0.0107344035,n02814860,n03983396
data/tiny-imagenet-200/val/n03444034/val_9322.jpeg,107,135,0.010723509,n03444034,n03983396
data/tiny-imagenet-200/val/n02125311/val_1035.jpeg,33,135,0.010721419,n02125311,n03983396
data/tiny-imagenet-200/val/n02279972/val_7622.jpeg,44,135,0.01067051,n02279972,n03983396
data/tiny-imagenet-200/val/n02236044/val_9764.jpeg,42,135,0.010620423,n02236044,n03983396
data/tiny-imagenet-200/val/n01644900/val_3294.jpeg,3,135,0.010587585,n01644900,n03983396
data/tiny-imagenet-200/val/n02113799/val_9007.jpeg,29,135,0.010587363,n02113799,n03983396
data/tiny-imagenet-200/val/n02094433/val_2890.jpeg,25,171,0.010550689,n02094433,n04540053
data/tiny-imagenet-200/val/n03250847/val_8644.jpeg,99,135,0.010540972,n03250847,n03983396
data/tiny-imagenet-200/val/n03255030/val_3445.jpeg,100,135,0.010538696,n03255030,n03983396
data/tiny-imagenet-200/val/n02509815/val_4213.jpeg,58,135,0.010524727,n02509815,n03983396
data/tiny-imagenet-200/val/n02058221/val_560.jpeg,22,135,0.010521025,n02058221,n03983396
data/tiny-imagenet-200/val/n02123045/val_3189.jpeg,30,135,0.010490615,n02123045,n03983396
data/tiny-imagenet-200/val/n03763968/val_1996.jpeg,119,135,0.010458673,n03763968,n03983396
data/tiny-imagenet-200/val/n07920052/val_7851.jpeg,193,135,0.010451573,n07920052,n03983396
data/tiny-imagenet-200/val/n02099712/val_5525.jpeg,27,135,0.0104501825,n02099712,n03983396
data/tiny-imagenet-200/val/n04328186/val_402.jpeg,155,135,0.0104386825,n04328186,n03983396
data/tiny-imagenet-200/val/n02509815/val_2847.jpeg,58,135,0.010437441,n02509815,n03983396
data/tiny-imagenet-200/val/n07695742/val_8620.jpeg,181,135,0.010430116,n07695742,n03983396
data/tiny-imagenet-200/val/n01784675/val_3708.jpeg,10,135,0.010425468,n01784675,n03983396
data/tiny-imagenet-200/val/n02963159/val_8222.jpeg,85,135,0.010421727,n02963159,n03983396
data/tiny-imagenet-200/val/n02364673/val_954.jpeg,47,135,0.010414952,n02364673,n03983396
data/tiny-imagenet-200/val/n02125311/val_810.jpeg,33,135,0.010389575,n02125311,n03983396
data/tiny-imagenet-200/val/n09256479/val_1116.jpeg,196,135,0.010357177,n09256479,n03983396
data/tiny-imagenet-200/val/n07873807/val_1868.jpeg,191,135,0.010302957,n07873807,n03983396
data/tiny-imagenet-200/val/n02132136/val_3703.jpeg,35,135,0.010302612,n02132136,n03983396
data/tiny-imagenet-200/val/n09332890/val_6073.jpeg,197,135,0.010280319,n09332890,n03983396
data/tiny-imagenet-200/val/n03770439/val_9851.jpeg,120,135,0.010271227,n03770439,n03983396
data/tiny-imagenet-200/val/n02124075/val_6344.jpeg,32,135,0.010260759,n02124075,n03983396
data/tiny-imagenet-200/val/n04146614/val_9753.jpeg,145,135,0.010252933,n04146614,n03983396
data/tiny-imagenet-200/val/n03637318/val_618.jpeg,113,135,0.010212017,n03637318,n03983396
data/tiny-imagenet-200/val/n03763968/val_746.jpeg,119,135,0.010198065,n03763968,n03983396
data/tiny-imagenet-200/val/n02481823/val_3948.jpeg,55,135,0.010144674,n02481823,n03983396
data/tiny-imagenet-200/val/n03400231/val_2897.jpeg,104,135,0.010134543,n03400231,n03983396
data/tiny-imagenet-200/val/n03976657/val_9731.jpeg,132,135,0.010100122,n03976657,n03983396
data/tiny-imagenet-200/val/n02058221/val_4014.jpeg,22,135,0.0100646615,n02058221,n03983396
data/tiny-imagenet-200/val/n02165456/val_3981.jpeg,36,135,0.010060475,n02165456,n03983396
data/tiny-imagenet-200/val/n02074367/val_7127.jpeg,23,135,0.010052084,n02074367,n03983396
data/tiny-imagenet-200/val/n03388043/val_9539.jpeg,102,135,0.009994301,n03388043,n03983396
data/tiny-imagenet-200/val/n02094433/val_2634.jpeg,25,135,0.00998464,n02094433,n03983396
data/tiny-imagenet-200/val/n04366367/val_1279.jpeg,157,135,0.009954768,n04366367,n03983396
data/tiny-imagenet-200/val/n01768244/val_2402.jpeg,6,135,0.009944587,n01768244,n03983396
data/tiny-imagenet-200/val/n03424325/val_7196.jpeg,106,135,0.009933088,n03424325,n03983396
data/tiny-imagenet-200/val/n07615774/val_3129.jpeg,180,135,0.009929872,n07615774,n03983396
data/tiny-imagenet-200/val/n04275548/val_3196.jpeg,152,135,0.009910169,n04275548,n03983396
data/tiny-imagenet-200/val/n03854065/val_255.jpeg,126,135,0.00991012,n03854065,n03983396
data/tiny-imagenet-200/val/n02165456/val_1972.jpeg,36,135,0.009908413,n02165456,n03983396
data/tiny-imagenet-200/val/n02403003/val_4462.jpeg,49,135,0.009898411,n02403003,n03983396
data/tiny-imagenet-200/val/n04596742/val_2826.jpeg,174,135,0.00989818,n04596742,n03983396
data/tiny-imagenet-200/val/n02085620/val_695.jpeg,24,135,0.009893521,n02085620,n03983396
data/tiny-imagenet-200/val/n03042490/val_3365.jpeg,91,135,0.009874992,n03042490,n03983396
data/tiny-imagenet-200/val/n04265275/val_109.jpeg,151,135,0.009866704,n04265275,n03983396
data/tiny-imagenet-200/val/n07614500/val_6686.jpeg,179,135,0.009863805,n07614500,n03983396
data/tiny-imagenet-200/val/n03980874/val_2433.jpeg,134,135,0.00985627,n03980874,n03983396
data/tiny-imagenet-200/val/n02423022/val_4334.jpeg,52,135,0.009848696,n02423022,n03983396
data/tiny-imagenet-200/val/n03201208/val_8897.jpeg,98,135,0.009837684,n03201208,n03983396
data/tiny-imagenet-200/val/n07871810/val_2924.jpeg,190,135,0.009836289,n07871810,n03983396
data/tiny-imagenet-200/val/n09428293/val_6793.jpeg,198,135,0.009834102,n09428293,n03983396
data/tiny-imagenet-200/val/n03977966/val_1597.jpeg,133,135,0.009805267,n03977966,n03983396
data/tiny-imagenet-200/val/n04179913/val_8668.jpeg,147,135,0.009798575,n04179913,n03983396
data/tiny-imagenet-200/val/n02281406/val_7921.jpeg,45,135,0.009781295,n02281406,n03983396
data/tiny-imagenet-200/val/n07753592/val_2986.jpeg,188,135,0.009779466,n07753592,n03983396
data/tiny-imagenet-200/val/n03447447/val_8804.jpeg,108,135,0.0097790025,n03447447,n03983396
data/tiny-imagenet-200/val/n07720875/val_9897.jpeg,184,135,0.0097779995,n07720875,n03983396
data/tiny-imagenet-200/val/n07873807/val_2822.jpeg,191,135,0.009773588,n07873807,n03983396
data/tiny-imagenet-200/val/n02977058/val_5290.jpeg,86,135,0.00976656,n02977058,n03983396
data/tiny-imagenet-200/val/n02437312/val_1237.jpeg,53,135,0.0097624,n02437312,n03983396
data/tiny-imagenet-200/val/n02395406/val_3648.jpeg,48,135,0.009758784,n02395406,n03983396
data/tiny-imagenet-200/val/n02815834/val_4324.jpeg,72,135,0.009751507,n02815834,n03983396
data/tiny-imagenet-200/val/n03980874/val_9592.jpeg,134,135,0.009750177,n03980874,n03983396
data/tiny-imagenet-200/val/n01944390/val_6297.jpeg,15,135,0.009748454,n01944390,n03983396
data/tiny-imagenet-200/val/n03255030/val_7776.jpeg,100,135,0.009748007,n03255030,n03983396
data/tiny-imagenet-200/val/n02123045/val_9316.jpeg,30,135,0.009746121,n02123045,n03983396
data/tiny-imagenet-200/val/n07749582/val_366.jpeg,187,135,0.009742301,n07749582,n03983396
data/tiny-imagenet-200/val/n07753592/val_1110.jpeg,188,135,0.0097370725,n07753592,n03983396
data/tiny-imagenet-200/val/n04366367/val_2899.jpeg,157,135,0.009736491,n04366367,n03983396
data/tiny-imagenet-200/val/n01855672/val_1782.jpeg,11,135,0.009721567,n01855672,n03983396
data/tiny-imagenet-200/val/n02814533/val_6294.jpeg,70,135,0.009712486,n02814533,n03983396
data/tiny-imagenet-200/val/n01774750/val_2641.jpeg,9,135,0.00970474,n01774750,n03983396
data/tiny-imagenet-200/val/n04486054/val_9901.jpeg,165,135,0.009700502,n04486054,n03983396
data/tiny-imagenet-200/val/n02268443/val_8501.jpeg,43,135,0.009698086,n02268443,n03983396
data/tiny-imagenet-200/val/n03085013/val_7711.jpeg,92,135,0.009676007,n03085013,n03983396
data/tiny-imagenet-200/val/n02504458/val_7308.jpeg,57,135,0.009675922,n02504458,n03983396
data/tiny-imagenet-200/val/n04285008/val_18.jpeg,153,135,0.009672822,n04285008,n03983396
data/tiny-imagenet-200/val/n07711569/val_8697.jpeg,182,135,0.009661099,n07711569,n03983396
data/tiny-imagenet-200/val/n02056570/val_2683.jpeg,21,135,0.009659848,n02056570,n03983396
data/tiny-imagenet-200/val/n04254777/val_8207.jpeg,149,135,0.009659311,n04254777,n03983396
data/tiny-imagenet-200/val/n04118538/val_7880.jpeg,143,135,0.009650476,n04118538,n03983396
data/tiny-imagenet-200/val/n01629819/val_9998.jpeg,1,135,0.009647638,n01629819,n03983396
data/tiny-imagenet-200/val/n03937543/val_5833.jpeg,130,135,0.00964054,n03937543,n03983396
data/tiny-imagenet-200/val/n01984695/val_1382.jpeg,19,135,0.009638928,n01984695,n03983396
data/tiny-imagenet-200/val/n03891332/val_4873.jpeg,127,135,0.009633357,n03891332,n03983396
data/tiny-imagenet-200/val/n02666196/val_3680.jpeg,59,135,0.009628258,n02666196,n03983396
data/tiny-imagenet-200/val/n02279972/val_86.jpeg,44,135,0.009619429,n02279972,n03983396
data/tiny-imagenet-200/val/n01644900/val_9004.jpeg,3,135,0.009614799,n01644900,n03983396
data/tiny-imagenet-200/val/n02788148/val_6940.jpeg,64,135,0.009603202,n02788148,n03983396
data/tiny-imagenet-200/val/n03706229/val_4625.jpeg,117,135,0.009598952,n03706229,n03983396
data/tiny-imagenet-200/val/n01774750/val_8089.jpeg,9,135,0.009597206,n01774750,n03983396
data/tiny-imagenet-200/val/n03992509/val_6950.jpeg,136,135,0.009594455,n03992509,n03983396
data/tiny-imagenet-200/val/n04179913/val_9033.jpeg,147,135,0.009593975,n04179913,n03983396
data/tiny-imagenet-200/val/n02814533/val_850.jpeg,70,135,0.009586442,n02814533,n03983396
data/tiny-imagenet-200/val/n09246464/val_5021.jpeg,195,135,0.009586043,n09246464,n03983396
data/tiny-imagenet-200/val/n03992509/val_5387.jpeg,136,135,0.009581895,n03992509,n03983396
data/tiny-imagenet-200/val/n07749582/val_526.jpeg,187,135,0.009577104,n07749582,n03983396
data/tiny-imagenet-200/val/n02364673/val_1288.jpeg,47,135,0.009574138,n02364673,n03983396
data/tiny-imagenet-200/val/n02909870/val_3762.jpeg,80,135,0.0095739,n02909870,n03983396
data/tiny-imagenet-200/val/n01770393/val_8479.jpeg,7,135,0.009573825,n01770393,n03983396
data/tiny-imagenet-200/val/n03201208/val_8339.jpeg,98,135,0.009570795,n03201208,n03983396
data/tiny-imagenet-200/val/n03599486/val_648.jpeg,111,135,0.009568269,n03599486,n03983396
data/tiny-imagenet-200/val/n02917067/val_6378.jpeg,81,135,0.009557455,n02917067,n03983396
data/tiny-imagenet-200/val/n04179913/val_686.jpeg,147,135,0.009557124,n04179913,n03983396
